Watching for file changes with StatReloader
Not Found: /fonts/hkgrotesk-bold-webfont.woff2
Not Found: /fonts/hkgrotesk-light-webfont.woff2
Not Found: /fonts/hkgrotesk-bold-webfont.woff
Not Found: /fonts/hkgrotesk-light-webfont.woff
Not Found: /error/9/
C:\Users\gtuleshkova\PycharmProjects\SoftUni\djangoProjects\art_project\art_project\settings.py changed, reloading.
Not Found: /error/9/
2022-04-07 14:51:20,708 [WARNING] log 22656 30540 Not Found: /fonts/hkgrotesk-light-webfont.woff2
2022-04-07 14:51:20,740 [WARNING] log 22656 20792 Not Found: /fonts/hkgrotesk-regular-webfont.woff
2022-04-07 14:51:20,740 [WARNING] log 22656 8836 Not Found: /fonts/hkgrotesk-bold-webfont.woff
2022-04-07 14:51:20,755 [WARNING] log 22656 30540 Not Found: /fonts/hkgrotesk-light-webfont.woff
2022-04-07 14:51:22,029 [WARNING] log 22656 20792 Not Found: /fonts/hkgrotesk-bold-webfont.woff2
2022-04-07 14:51:22,029 [WARNING] log 22656 8836 Not Found: /fonts/hkgrotesk-regular-webfont.woff2
2022-04-07 14:51:22,044 [WARNING] log 22656 30540 Not Found: /fonts/hkgrotesk-light-webfont.woff2
2022-04-07 14:51:22,067 [WARNING] log 22656 20792 Not Found: /fonts/hkgrotesk-bold-webfont.woff
2022-04-07 14:51:22,067 [WARNING] log 22656 8836 Not Found: /fonts/hkgrotesk-regular-webfont.woff
2022-04-07 14:51:22,082 [WARNING] log 22656 30540 Not Found: /fonts/hkgrotesk-light-webfont.woff
2022-04-07 14:51:39,633 [WARNING] log 22656 20792 Not Found: /fonts/hkgrotesk-bold-webfont.woff2
2022-04-07 14:51:39,648 [WARNING] log 22656 8836 Not Found: /fonts/hkgrotesk-regular-webfont.woff2
2022-04-07 14:51:39,648 [WARNING] log 22656 30540 Not Found: /fonts/hkgrotesk-light-webfont.woff2
2022-04-07 14:51:39,680 [WARNING] log 22656 20792 Not Found: /fonts/hkgrotesk-bold-webfont.woff
2022-04-07 14:51:39,680 [WARNING] log 22656 8836 Not Found: /fonts/hkgrotesk-regular-webfont.woff
2022-04-07 14:51:39,680 [WARNING] log 22656 30540 Not Found: /fonts/hkgrotesk-light-webfont.woff
2022-04-07 14:51:41,787 [WARNING] log 22656 20792 Not Found: /fonts/hkgrotesk-bold-webfont.woff2
2022-04-07 14:51:41,787 [WARNING] log 22656 8836 Not Found: /fonts/hkgrotesk-regular-webfont.woff2
2022-04-07 14:51:41,802 [WARNING] log 22656 30540 Not Found: /fonts/hkgrotesk-light-webfont.woff2
2022-04-07 14:51:41,994 [WARNING] log 22656 20792 Not Found: /fonts/hkgrotesk-regular-webfont.woff
2022-04-07 14:51:41,994 [WARNING] log 22656 8836 Not Found: /fonts/hkgrotesk-bold-webfont.woff
2022-04-07 14:51:42,002 [WARNING] log 22656 30540 Not Found: /fonts/hkgrotesk-light-webfont.woff
2022-04-07 14:51:56,584 [WARNING] log 22656 8836 Not Found: /fonts/hkgrotesk-regular-webfont.woff2
2022-04-07 14:51:56,584 [WARNING] log 22656 30540 Not Found: /fonts/hkgrotesk-light-webfont.woff2
2022-04-07 14:51:56,584 [WARNING] log 22656 20792 Not Found: /fonts/hkgrotesk-bold-webfont.woff2
2022-04-07 14:51:56,615 [WARNING] log 22656 20792 Not Found: /fonts/hkgrotesk-light-webfont.woff
2022-04-07 14:51:56,630 [WARNING] log 22656 8836 Not Found: /fonts/hkgrotesk-regular-webfont.woff
2022-04-07 14:51:56,637 [WARNING] log 22656 30540 Not Found: /fonts/hkgrotesk-bold-webfont.woff
